,Model,Quant Method,32-bit,16-bit,8-bit
0,vit_huge_patch14_clip_224,['linear'],0.8585,0.8585,0.8573
1,vit_large_patch14_clip_224,['linear'],0.85,0.8499,0.8477
2,vit_base_patch8_224,['linear'],0.7824,0.7824,0.7945
3,deit3_large_patch16_224,['linear'],0.8415,0.8415,0.8416
4,beitv2_large_patch16_224,['linear'],0.8742,0.8742,0.8731
5,hiera_huge_224,['linear'],0.8637,0.8637,0.8624
6,hgnetv2_b6,['linear'],0.8564,0.8563,0.8513
7,nextvit_large,['linear'],0.8248,0.8248,0.8216
8,nextvit_base,['linear'],0.8226,0.8226,0.8191
9,nextvit_small,['linear'],0.8138,0.8139,0.8013
10,convnext_tiny,['linear'],0.8249,0.8249,0.7904
11,convnext_small,['linear'],0.8301,0.8301,0.8091
12,convnextv2_tiny,['linear'],0.8211,0.8211,0.7846
13,convnextv2_base,['linear'],0.8505,0.8503,0.8329
14,convnextv2_large,['linear'],0.852,0.8519,0.8481
15,caformer_s18,['linear'],0.8273,0.8274,0.8245
16,caformer_s36,['linear'],0.8371,0.8372,0.8361
17,caformer_b36,['linear'],0.8457,0.8457,0.8452
18,maxvit_rmlp_base_rw_224,['linear'],0.8432,0.8432,0.8385
19,maxvit_small_tf_224,['linear'],0.8318,0.8318,0.8309
20,maxxvitv2_rmlp_base_rw_224,['linear'],0.854,0.854,0.8513
21,coatnet_2_rw_224,['linear'],0.803,0.8028,0.7731
22,coatnet_rmlp_1_rw2_224,['linear'],0.8096,0.8096,0.7884
23,coatnet_rmlp_2_rw_224,['linear'],0.8053,0.8053,0.7802
24,swin_large_patch4_window7_224,['linear'],0.8522,0.8522,0.8521
25,convformer_m36,['linear'],0.8356,0.8356,0.8354
26,convformer_s36,['linear'],0.8322,0.8323,0.8319
27,tiny_vit_11m_224,['linear'],0.0,0.0,0.0
28,tiny_vit_21m_224,['linear'],0.0,0.0,0.0
29,efficientvit_l1,['linear'],0.8344,0.8344,0.0907
30,efficientvit_l2,['linear'],0.8405,0.8406,0.0018
31,efficientvit_b0,['linear'],0.7063,0.7061,0.0371
32,efficientvit_b1,['linear'],0.783,0.7828,0.1292
33,efficientvit_b2,['linear'],0.8103,0.8104,0.5941
34,hgnetv2_b2,['linear'],0.8118,0.8119,0.7919
35,hgnetv2_b3,['linear'],0.8219,0.822,0.812
36,hgnetv2_b4,['linear'],0.8281,0.828,0.8202
37,hgnetv2_b5,['linear'],0.841,0.841,0.8358
38,rexnet_130,['linear'],0.7862,0.7862,0.7786
39,rexnet_150,['linear'],0.794,0.7939,0.7779
40,rexnet_200,['linear'],0.8068,0.807,0.7995
41,rexnetr_200,['linear'],0.812,0.8119,0.7148
42,rexnetr_300,['linear'],0.82,0.8199,0.794
43,efficientformerv2_l,['linear'],0.8272,0.8269,0.0054
44,efficientformerv2_s1,['linear'],0.7881,0.7879,0.0011
45,efficientformerv2_s2,['linear'],0.8132,0.8133,0.0012
46,levit_256,['linear'],0.806,0.806,0.7618
47,levit_conv_128,['linear'],0.7783,0.7782,0.7143
48,levit_conv_192,['linear'],0.7901,0.7901,0.7596
49,levit_conv_256,['linear'],0.806,0.8059,0.7619
50,repvit_m1_0,['linear'],0.7911,0.7912,0.7726
51,mobilenetv3_small_050,['linear'],0.5695,0.5695,0.0788
52,tf_mobilenetv3_small_100,['linear'],0.399,0.3995,0.221
53,mobilenetv3_large_100,['linear'],0.749,0.7491,0.7297
54,mobilenetv4_hybrid_medium,['linear'],0.8033,0.8032,0.7556
55,mixnet_xl,['linear'],0.7952,0.7951,0.7883
56,tf_mixnet_l,['linear'],0.7782,0.7782,0.7778
57,mixnet_l,['linear'],0.7766,0.7765,0.7681
58,repghostnet_050,['linear'],0.6556,0.6556,0.5888
59,repghostnet_058,['linear'],0.6759,0.6761,0.638
60,repghostnet_080,['linear'],0.7089,0.7089,0.5437
61,repghostnet_100,['linear'],0.7286,0.7285,0.565
62,repghostnet_111,['linear'],0.7406,0.7407,0.7347
63,repghostnet_200,['linear'],0.7789,0.7791,0.7778
64,fbnetv3_b,['linear'],0.7725,0.7726,0.5887
65,fbnetv3_d,['linear'],0.7786,0.7788,0.7195
66,efficientnet_b0,['linear'],0.7677,0.7678,0.7358
67,tf_efficientnet_b0,['linear'],0.7758,0.7757,0.7466
68,tf_efficientnet_cc_b0_4e,['linear'],0.3842,0.384,0.347
69,hardcorenas_f,['linear'],0.7728,0.7728,0.7489
70,hardcorenas_e,['linear'],0.7717,0.7717,0.7333
71,hardcorenas_c,['linear'],0.7622,0.7624,0.7189
72,hrnet_w18_small_v2,['linear'],0.7767,0.7768,0.7667
73,ghostnet_100,['linear'],0.7276,0.7275,0.7235
74,eva_giant_patch14_224,['linear'],0.8827,0.8827,0.8826
