,Model,32-bit,16-bit,8-bit
0,vit_huge_patch14_clip_224,323.919,161.9595,80.97975
1,vit_large_patch14_clip_224,155.624,77.812,38.906
2,vit_base_patch8_224,133.685,66.8425,33.42125
3,deit3_large_patch16_224,119.363,59.6815,29.84075
4,beitv2_large_patch16_224,119.362,59.681,29.8405
5,hiera_huge_224,243.333,121.6665,60.83325
6,hgnetv2_b6,33.7418,16.8709,8.43545
7,nextvit_large,21.4383,10.71915,5.359575
8,nextvit_base,16.4993,8.24965,4.124825
9,nextvit_small,11.5603,5.78015,2.890075
10,convnext_tiny,8.9394,4.4697,2.23485
11,convnext_small,17.4107,8.70535,4.352675
12,convnextv2_tiny,8.9373,4.46865,2.234325
13,convnextv2_base,30.7624,15.3812,7.6906
14,convnextv2_large,68.8024,34.4012,17.2006
15,caformer_s18,7.7832,3.8916,1.9458
16,caformer_s36,15.0923,7.54615,3.773075
17,caformer_b36,44.9736,22.4868,11.2434
18,maxvit_rmlp_base_rw_224,45.2079,22.60395,11.301975
19,maxvit_small_tf_224,22.7495,11.37475,5.687375
20,maxxvitv2_rmlp_base_rw_224,47.7557,23.87785,11.938925
21,coatnet_2_rw_224,29.0763,14.53815,7.269075
22,coatnet_rmlp_1_rw2_224,15.4086,7.7043,3.85215
23,coatnet_rmlp_2_rw_224,29.2729,14.63645,7.318225
24,swin_large_patch4_window7_224,68.1186,34.0593,17.02965
25,convformer_m36,25.7558,12.8779,6.43895
26,convformer_s36,15.3308,7.6654,3.8327
27,tiny_vit_11m_224,3.7909,1.89545,0.947725
28,tiny_vit_21m_224,8.1365,4.06825,2.034125
29,efficientvit_l1,10.5105,5.25525,2.627625
30,efficientvit_l2,13.8877,6.94385,3.471925
31,efficientvit_b0,0.19994599,0.09997299,0.049986499
32,efficientvit_b1,1.0322,0.5161,0.25805
33,efficientvit_b2,3.1218,1.5609,0.78045
34,hgnetv2_b2,2.2876,1.1438,0.5719
35,hgnetv2_b3,3.5568,1.7784,0.8892
36,hgnetv2_b4,5.4879,2.74395,1.371975
37,hgnetv2_b5,13.1088,6.5544,3.2772
38,rexnet_130,1.3496,0.6748,0.3374
39,rexnet_150,1.7806,0.8903,0.44515
40,rexnet_200,3.0963,1.54815,0.774075
41,rexnetr_200,3.1578,1.5789,0.78945
42,rexnetr_300,6.7447,3.37235,1.686175
43,efficientformerv2_l,5.0861,2.54305,1.271525
44,efficientformerv2_s1,1.2948,0.6474,0.3237
45,efficientformerv2_s2,2.4745,1.23725,0.618625
46,levit_256,2.1024,1.0512,0.5256
47,levit_conv_128,0.73222,0.36611,0.183055
48,levit_conv_192,1.1991,0.59955,0.299775
49,levit_conv_256,2.1025,1.05125,0.525625
50,repvit_m1_0,2.2387,1.11935,0.559675
51,mobilenetv3_small_050,0.0505175,0.02525875,0.012629375
52,tf_mobilenetv3_small_100,0.11635,0.058175,0.0290875
53,mobilenetv3_large_100,0.444348,0.222174,0.111087
54,mobilenetv4_hybrid_medium,1.9003,0.95015,0.475075
55,mixnet_xl,1.8503,0.92515,0.462575
56,tf_mixnet_l,1.142,0.571,0.2855
57,mixnet_l,1.142,0.571,0.2855
58,repghostnet_050,0.0936519,0.04682595,0.023412975
59,repghostnet_058,0.12855699,0.064278499,0.03213924
60,repghostnet_080,0.20222,0.10111,0.050555
61,repghostnet_100,0.29859199,0.14929599,0.07464799
62,repghostnet_111,0.355465,0.1777325,0.08886625
63,repghostnet_200,1.0593,0.52965,0.264825
64,fbnetv3_b,0.829013,0.4145065,0.20725325
65,fbnetv3_d,1.021,0.5105,0.25525
66,efficientnet_b0,0.791335,0.3956675,0.19783375
67,tf_efficientnet_b0,0.791335,0.3956675,0.19783375
68,tf_efficientnet_cc_b0_4e,0.812852,0.406426,0.203213
69,hardcorenas_f,0.697535,0.3487675,0.17438375
70,hardcorenas_e,0.691573,0.3457865,0.17289325
71,hardcorenas_c,0.552636,0.276318,0.138159
72,hrnet_w18_small_v2,5.2196,2.6098,1.3049
73,ghostnet_100,0.291874,0.145937,0.0729685
74,eva_giant_patch14_224,519.392,259.696,129.848
